adminAction,adminActionState,argument_month,caseOriginState,caseOrigin_group,caseSourceState,caseSource_group,certReason_group,chief,complex_consolidated_disagreement,days_from_term_start_to_argument,days_from_term_start_to_decision,decision_month,decision_year,docket_category,had_reargument,is_AdminAction_x_Economic,is_FedCirc_Conflict,is_Govt_vs_Business,is_Individual_vs_Govt,is_State_vs_State,is_late_term_argument,is_late_term_decision,issue,issueArea_name,issue_x_jurisdiction,jurisdiction_group,lawMinor,lawSupp,lawType_group,lcDisagreement,lcDispositionDirection,lcDisposition_group,lc_disagree_direction,naturalCourt,num_dockets_in_case,petitionerState,petitioner_group,respondentState,respondent_group,term,threeJudgeFdc,threeJudge_x_issue,duration_days
82.0,,11,,FedCircCt,,FedCircCt,Court Conflict,Vinson,0.0,51,83,12,1946,Merits/Other,0,0,0,1,0,0,1,1,70100.0,Unions,Unions_via_Certiorari,Certiorari,,356.0,Fed Statute,0.0,1.0,Vacated/Remanded,LC_Agree_Conservative,1301,1,,US Agency,,Business,1946,0.0,Unions_3Judge_0.0,32.0
24.0,,1,49.0,FedDistCt,,FedCircCt,Important Question,Vinson,0.0,0,83,12,1946,Merits/Other,1,0,0,0,0,0,0,1,30130.0,First Amendment,First Amendment_via_Certiorari,Certiorari,,366.0,Fed Statute,0.0,1.0,Affirmed,LC_Agree_Conservative,1301,2,,Other/Unknown,,US Govt,1946,0.0,First Amendment_3Judge_0.0,355.0
24.0,,1,41.0,FedDistCt,,FedCircCt,Important Question,Vinson,0.0,0,83,12,1946,Merits/Other,1,0,0,0,0,0,0,1,30130.0,First Amendment,First Amendment_via_Certiorari,Certiorari,,366.0,Fed Statute,0.0,1.0,Affirmed,LC_Agree_Conservative,1301,2,,Other/Unknown,,US Govt,1946,0.0,First Amendment_3Judge_0.0,355.0
117.0,17.0,3,17.0,StateTrialCt,17.0,StateHighCt,Important Question,Vinson,0.0,0,83,12,1946,Merits/Other,1,0,0,0,0,0,0,1,120030.0,Federal Taxation,Federal Taxation_via_Certiorari,Certiorari,,307.0,Fed Statute,0.0,2.0,Reversed,LC_Agree_Liberal,1301,1,17.0,State Govt,,US Agency,1946,0.0,Federal Taxation_3Judge_0.0,270.0
,,11,27.0,FedDistCt,,FedCircCt,Court Conflict,Vinson,0.0,42,83,12,1946,Merits/Other,0,0,0,0,1,0,1,1,10430.0,Criminal Procedure,Criminal Procedure_via_Certiorari,Certiorari,18 U.S.C. § 413,600.0,Infrequent Fed Statute,0.0,2.0,Reversed,LC_Agree_Liberal,1301,1,,US Govt,,Individual,1946,0.0,Criminal Procedure_3Judge_0.0,41.0
,,11,17.0,FedDistCt,,FedCircCt,Court Conflict,Vinson,0.0,44,97,1,1947,Merits/Other,0,0,0,0,0,0,1,0,80180.0,Economic Activity,Economic Activity_via_Certiorari,Certiorari,,507.0,Other,0.0,2.0,Affirmed,LC_Agree_Liberal,1301,2,,Other/Unknown,,Other/Unknown,1946,0.0,Economic Activity_3Judge_0.0,53.0
,,11,17.0,FedDistCt,,FedCircCt,Court Conflict,Vinson,0.0,44,97,1,1947,Merits/Other,0,0,0,0,0,0,1,0,80180.0,Economic Activity,Economic Activity_via_Certiorari,Certiorari,,507.0,Other,0.0,2.0,Affirmed,LC_Agree_Liberal,1301,2,,Other/Unknown,,Other/Unknown,1946,0.0,Economic Activity_3Judge_0.0,53.0
,,12,45.0,StateTrialCt,45.0,StateHighCt,Court Conflict,Vinson,0.0,72,97,1,1947,Merits/Other,0,0,0,0,0,0,1,0,80180.0,Economic Activity,Economic Activity_via_Writ,Writ,,507.0,Other,0.0,1.0,Affirmed,LC_Agree_Conservative,1301,1,,Other/Unknown,,Other/Unknown,1946,0.0,Economic Activity_3Judge_0.0,25.0
117.0,41.0,12,41.0,StateHighCt,41.0,StateHighCt,Not Applicable / Denied,Vinson,0.0,72,97,1,1947,Merits/Other,0,1,0,0,0,0,1,0,80100.0,Economic Activity,Economic Activity_via_Appeal,Appeal,,230.0,Const Amendment,0.0,2.0,Affirmed,LC_Agree_Liberal,1301,1,41.0,Other/Unknown,41.0,Other/Unknown,1946,0.0,Economic Activity_3Judge_0.0,25.0
66.0,,12,9.0,FedDistCt,9.0,FedDistCt,Not Applicable / Denied,Vinson,0.0,69,97,1,1947,Merits/Other,0,1,0,0,0,0,1,0,80230.0,Economic Activity,Economic Activity_via_Appeal,Appeal,,343.0,Fed Statute,0.0,1.0,Vacated/Remanded,LC_Agree_Conservative,1301,1,,US Govt,,Other/Unknown,1946,1.0,Economic Activity_3Judge_1.0,28.0
117.0,51.0,11,51.0,FedDistCt,,FedCircCt,Important Question,Vinson,1.0,48,97,1,1947,Merits/Other,0,1,1,0,0,0,1,0,80110.0,Economic Activity,Economic Activity_via_Certiorari,Certiorari,,,Unknown/Missing,1.0,1.0,Reversed,LC_Disagree_Conservative,1301,1,,Business,,Other/Unknown,1946,0.0,Economic Activity_3Judge_0.0,49.0
