argument_month,caseOrigin_group,caseSource_group,certReason_group,chief,complex_consolidated_disagreement,days_from_term_start_to_argument,days_from_term_start_to_decision,decision_month,decision_year,docket_category,had_reargument,is_AdminAction_x_Economic,is_FedCirc_Conflict,is_Govt_vs_Business,is_Individual_vs_Govt,is_State_vs_State,is_late_term_argument,is_late_term_decision,issue,issueArea_name,issue_x_jurisdiction,jurisdiction_group,lawSupp,lawType_group,lcDisagreement,lcDispositionDirection,lcDisposition_group,lc_disagree_direction,naturalCourt,num_dockets_in_case,petitioner_group,respondent_group,term,threeJudgeFdc,threeJudge_x_issue,duration_days,lcDisagreement_is_missing,threeJudgeFdc_is_missing
10,Federal,Federal,Substantive Reasons,Vinson,0.0,17,69,12,1946,Merits/Other,0,0,0,0,0,0,1,1,40070.0,Other Constitutional,Due Process_via_Certiorari,Discretionary,600.0,Statutory,0.0,1.0,Affirmed,LC_Agree_Conservative,1301,1,Government,Other/Unknown,1946,0.0,Due Process_3Judge_0.0,52.0,0,0
10,State,State,Procedural/Administrative,Vinson,0.0,0,76,12,1946,Merits/Other,1,0,0,0,0,0,1,1,80100.0,Economic Activity,Economic Activity_via_Appeal,Mandatory,111.0,Constitutional,0.0,2.0,Reversed/Modified,LC_Agree_Liberal,1301,1,Other/Unknown,Other/Unknown,1946,0.0,Economic Activity_3Judge_0.0,799.0,0,0
11,Federal,Federal,Substantive Reasons,Vinson,1.0,50,76,12,1946,Merits/Other,0,1,1,0,0,0,1,1,80170.0,Economic Activity,Economic Activity_via_Certiorari,Discretionary,600.0,Statutory,1.0,1.0,Reversed/Modified,LC_Disagree_Conservative,1301,1,Government,Other/Unknown,1946,0.0,Economic Activity_3Judge_0.0,26.0,0,0
11,Federal,Federal,Substantive Reasons,Vinson,0.0,45,76,12,1946,Merits/Other,0,0,0,0,0,0,1,1,120010.0,Other Non-Constitutional,Federal Taxation_via_Certiorari,Discretionary,,Other/Unknown,0.0,1.0,Affirmed,LC_Agree_Conservative,1301,1,Government,Other/Unknown,1946,0.0,Federal Taxation_3Judge_0.0,31.0,0,0
11,Federal,Federal,Substantive Reasons,Vinson,0.0,51,83,12,1946,Merits/Other,0,0,0,0,0,0,1,1,30130.0,First Amendment,First Amendment_via_Certiorari,Discretionary,366.0,Statutory,0.0,2.0,Reversed/Modified,LC_Agree_Liberal,1301,1,Government,Other/Unknown,1946,0.0,First Amendment_3Judge_0.0,32.0,0,0
11,Federal,Federal,Substantive Reasons,Vinson,0.0,51,83,12,1946,Merits/Other,0,0,0,0,0,0,1,1,30130.0,First Amendment,First Amendment_via_Certiorari,Discretionary,366.0,Statutory,0.0,2.0,Reversed/Modified,LC_Agree_Liberal,1301,1,Government,Other/Unknown,1946,0.0,First Amendment_3Judge_0.0,32.0,0,0
11,Federal,Federal,Substantive Reasons,Vinson,0.0,51,83,12,1946,Merits/Other,0,0,0,1,0,0,1,1,70100.0,Other Non-Constitutional,Unions_via_Certiorari,Discretionary,356.0,Statutory,0.0,1.0,Reversed/Modified,LC_Agree_Conservative,1301,1,Government,Private Entities,1946,0.0,Unions_3Judge_0.0,32.0,0,0
1,Federal,Federal,Substantive Reasons,Vinson,0.0,0,83,12,1946,Merits/Other,1,0,0,0,0,0,0,1,30130.0,First Amendment,First Amendment_via_Certiorari,Discretionary,366.0,Statutory,0.0,1.0,Affirmed,LC_Agree_Conservative,1301,2,Other/Unknown,Government,1946,0.0,First Amendment_3Judge_0.0,355.0,0,0
1,Federal,Federal,Substantive Reasons,Vinson,0.0,0,83,12,1946,Merits/Other,1,0,0,0,0,0,0,1,30130.0,First Amendment,First Amendment_via_Certiorari,Discretionary,366.0,Statutory,0.0,1.0,Affirmed,LC_Agree_Conservative,1301,2,Other/Unknown,Government,1946,0.0,First Amendment_3Judge_0.0,355.0,0,0
3,State,State,Substantive Reasons,Vinson,0.0,0,83,12,1946,Merits/Other,1,0,0,0,0,0,0,1,120030.0,Other Non-Constitutional,Federal Taxation_via_Certiorari,Discretionary,307.0,Statutory,0.0,2.0,Reversed/Modified,LC_Agree_Liberal,1301,1,Government,Government,1946,0.0,Federal Taxation_3Judge_0.0,270.0,0,0
